Id;CodeEcole2;Ecole;CodeProvinceEducationnelle;ProvinceEduc;CodeAnnee;Annee;CodeOption;Option;PartTot;PartH;PartF;ReussTot;ReussH;ReussF;TypeEcole
8538;11006037;COLLEGEEGE SAINT ANOTRE DAMERE;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;19;12;7;11;5;6;PRIVEE AGREE
8539;11006047;COMPLEXE SCOLLEGEAIRECARDINAL MONSENGO;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;32;20;12;20;8;12;PRIVEE AGREE
8540;11006057;COMPLEXE SCOLLEGEAIRELA FAVEUR DE DIEU;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;7;5;2;3;2;1;PRIVEE AGREE
8541;11006062;COMPLEXE SCOLLEGEAIRE SAINT FELIX;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;51;32;19;31;13;18;CATHOLIQUE
8542;11008017;COLLEGEEGE LA LUMIERE;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;10;7;3;6;3;3;PRIVEE AGREE
8543;11008027;;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;0;0;0;0;0;0;PRIVEE AGREE
8544;11008037;;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;0;0;0;0;0;0;PRIVEE AGREE
8545;11008047;COMPLEXE SCOLLEGEAIRE TOGAWA;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;0;0;0;0;0;0;PRIVEE AGREE
8546;11008057;COMPLEXE SCOLLEGEAIRE TOGAWA;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;10;6;4;0;0;0;PRIVEE AGREE
8547;11008067;ECOLLEGEE LUSAY;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;7;5;2;0;0;0;PRIVEE AGREE
8548;11008077;GROUPE SCOLLEGEAIRE AMOUR DIVIN;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;8;5;3;3;1;2;PRIVEE AGREE
8549;11008087;GROUPE SCOLLEGEAIRE LES GEDEONS;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;25;18;7;9;5;4;PRIVEE AGREE
8550;11008094;INSAINTITUTITUT DE LA RIVIERE;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;40;26;14;24;11;13;KIMBANGUISTE
8551;11008100;AUTODIDACTES;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;0;0;0;0;0;0;AUTODIDACTE
8552;11009017;COLLEGEEGE LA FRANCOPHONE;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;20;12;8;9;4;5;PRIVEE AGREE
8553;11009027;;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;57;37;20;30;13;17;PRIVEE AGREE
8554;11009037;COMPLEXE SCOLLEGEAIRE MAMAN PANGU;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;16;10;6;8;3;5;PRIVEE AGREE
8555;11010017;COLLEGEEGE ILADIC;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;7;5;2;0;0;0;PRIVEE AGREE
8556;11010022;;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;0;0;0;0;0;0;CATHOLIQUE
8557;11010037;;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;0;0;0;0;0;0;PRIVEE AGREE
8558;11010047;;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;0;0;0;0;0;0;PRIVEE AGREE
8559;11010052;;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;49;31;18;0;0;0;CATHOLIQUE
8560;11011017;;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;6;5;1;0;0;0;PRIVEE AGREE
8561;11011027;;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;0;0;0;7;3;4;PRIVEE AGREE
8562;11011037;COMPLEXE SCOLLEGEAIRE AFRIKA/B;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;16;10;6;7;2;5;PRIVEE AGREE
